index: 2, attacked_pos: [0.5031, -0.0187], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5438, 0.0406], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5344, -0.0438], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.525, -0.0187], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5031, 0.0], ori_reward: 0.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5344, -0.0187], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5031, 0.0281], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4938, -0.0563], ori_reward: 0.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5406, 0.0031], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4531, 0.0031], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5406, -0.0156], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.475, 0.0344], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5344, -0.0448], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4531, -0.0219], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4533, -0.0469], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4938, 0.0031], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4563, 0.0344], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4781, -0.0469], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4933, -0.025], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5312, 0.0312], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5063, 0.0031], ori_reward: 0.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5531, -0.0438], ori_reward: 0.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.6259, -0.0656], ori_reward: 0.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.6454, -0.1336], ori_reward: 0.0, rewards: tensor(0.)
index: 2, attacked_pos: [0.6355, -0.1242], ori_reward: 0.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.6438, -0.1261], ori_reward: 0.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.644, -0.128], ori_reward: 0.0, rewards: tensor(0.)
index: 2, attacked_pos: [0.6409, -0.131], ori_reward: 0.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.6526, -0.1297], ori_reward: 0.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.6382, -0.1284], ori_reward: 0.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.6368, -0.1186], ori_reward: 0.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.636, -0.1043], ori_reward: 0.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.6331, -0.0893], ori_reward: 0.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5625, -0.089], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4531, 0.0031], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5156, -0.0094], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4875, -0.0187], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4531, 0.0312], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4531, 0.0375], ori_reward: 0.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4938, 0.0037], ori_reward: 0.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5031, 0.0281], ori_reward: 0.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5344, -0.0062], ori_reward: 0.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5938, -0.0438], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5063, 0.0281], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4938, 0.0281], ori_reward: 1.0, rewards: tensor(1.)
